code,time,open,high,low,close,zhangdie,zhangdiefu,chengjian,chengjiane
AU0,2012/5/10,326.37,326.84,325.81,326.4,！！,！！,"45,286","14,779,790,000"
AU0,2012/5/11,326,326.07,323.9,324.16,-2.24,-0.6863,"60,604","19,684,610,000"
AU0,2012/5/14,324.59,324.94,322.58,322.89,-1.27,-0.3918,"53,222","17,232,130,000"
AU0,2012/5/15,318.95,319.28,317.27,318.91,-3.98,-1.2326,"70,276","22,378,200,000"
AU0,2012/5/16,315.8,316.78,313.72,313.97,-4.94,-1.549,"73,582","23,191,990,000"
AU0,2012/5/17,316.97,318.97,316.55,318.34,4.37,1.3919,"62,440","19,836,450,000"
AU0,2012/5/18,323,323.78,321.5,323.19,4.85,1.5235,"74,984","24,219,990,000"
AU0,2012/5/21,327,327.99,326.96,327.53,4.34,1.3429,"49,442","16,189,600,000"
AU0,2012/5/22,326.45,327.03,325.15,325.26,-2.27,-0.6931,"41,462","13,518,030,000"
AU0,2012/5/23,319.62,320.55,318.92,320.02,-5.24,-1.611,"63,048","20,162,150,000"
AU0,2012/5/24,320.27,322.52,319.3,321.4,1.38,0.4312,"64,848","20,784,580,000"
AU0,2012/5/25,320.33,322.78,318.82,321.74,0.34,0.1058,"77,752","24,906,440,000"
AU0,2012/5/28,323.77,326.63,323.65,326.3,4.56,1.4173,"52,194","16,971,820,000"
AU0,2012/5/29,324.49,325.97,324.16,325.5,-0.8,-0.2452,"48,716","15,831,380,000"
AU0,2012/5/30,320.31,320.8,318.88,319.86,-5.64,-1.7327,"62,898","20,123,460,000"
AU0,2012/5/31,322.64,324.43,322.22,323,3.14,0.9817,"63,652","20,580,550,000"
AU0,2012/6/1,321.39,322.9,320.7,322.63,-0.37,-0.1145,"51,008","16,412,210,000"
AU0,2012/6/4,333.5,337.07,333.02,335.67,13.04,4.0418,"107,318","35,921,780,000"
AU0,2012/6/5,335.12,336.06,333.65,334.36,-1.31,-0.3903,"63,180","21,157,690,000"
AU0,2012/6/6,336.94,337.3,335.57,336.35,1.99,0.5952,"73,350","24,670,680,000"
AU0,2012/6/7,335.48,335.6,333.89,334.7,-1.65,-0.4906,"66,446","22,229,680,000"
AU0,2012/6/8,327.03,327.75,322.51,324.93,-9.77,-2.919,"90,714","29,510,830,000"
AU0,2012/6/11,330.95,331.4,329.13,329.85,4.92,1.5142,"59,312","19,582,270,000"
AU0,2012/6/12,328.62,329.2,327.76,328.34,-1.51,-0.4578,"47,782","15,695,330,000"
AU0,2012/6/13,331,332.69,330.88,332.6,4.26,1.2974,"52,132","17,303,330,000"
AU0,2012/6/14,333.4,335.01,333.1,333.61,1.01,0.3037,"42,582","14,215,690,000"
AU0,2012/6/15,334.43,335.68,334.37,335.26,1.65,0.4946,"50,412","16,899,810,000"
AU0,2012/6/18,335.73,336.45,333.31,333.5,-1.76,-0.525,"58,604","19,592,650,000"
AU0,2012/6/19,335.56,336.18,335.14,335.5,2,0.5997,"37,686","12,647,940,000"
AU0,2012/6/20,333.32,334.15,332.9,333.49,-2.01,-0.5991,"34,266","11,431,280,000"
AU0,2012/6/21,329.31,330.7,328.69,330.14,-3.35,-1.0045,"45,710","15,079,860,000"
AU0,2012/6/25,325,325.58,324.2,325.12,-5.02,-1.5206,"41,114","13,365,040,000"
AU0,2012/6/26,327.6,327.77,326.45,326.9,1.78,0.5475,"27,880","9,121,390,000"
AU0,2012/6/27,325,325.42,323.82,324.34,-2.56,-0.7831,"34,948","11,345,300,000"
AU0,2012/6/28,326.01,326.41,325.08,325.39,1.05,0.3237,"35,236","11,477,400,000"
AU0,2012/6/29,321.34,325.13,321.06,324.51,-0.88,-0.2704,"57,264","18,517,500,000"
AU0,2012/7/2,329.2,329.21,327.71,328.1,3.59,1.1063,"41,244","13,542,340,000"
AU0,2012/7/3,329.2,331.8,328.89,331.73,3.63,1.1064,"46,332","15,306,180,000"
AU0,2012/7/4,333.35,333.87,332.8,333.3,1.57,0.4733,"35,464","11,819,080,000"
AU0,2012/7/5,333.32,334,332.55,333.8,0.5,0.15,"38,600","12,867,510,000"
AU0,2012/7/6,331.76,331.82,330.4,330.59,-3.21,-0.9617,"38,478","12,741,540,000"
AU0,2012/7/9,327,327.51,326.5,326.9,-3.69,-1.1162,"39,640","12,961,150,000"
AU0,2012/7/10,327.5,328.37,327.08,327.3,0.4,0.1224,"33,152","10,861,510,000"
AU0,2012/7/11,325,326.35,324.88,326.1,-1.2,-0.3666,"41,004","13,359,310,000"
